Customer_Depot_ID,Supplier_Depot_ID
1.0,1
2.0,1
4.0,1
5.0,1
6.0,1
7.0,1
8.0,1
10.0,1
13.0,1
18.0,1
21.0,1
22.0,1
23.0,1
24.0,1
25.0,1
26.0,1
29.0,1
33.0,1
34.0,1
35.0,1
36.0,1
37.0,1
38.0,1
39.0,1
41.0,1
42.0,1
43.0,1
44.0,1
45.0,1
47.0,1
48.0,1
50.0,1
53.0,1
54.0,1
55.0,1
60.0,1
1.0,2
2.0,2
3.0,2
5.0,2
6.0,2
7.0,2
8.0,2
10.0,2
12.0,2
13.0,2
14.0,2
17.0,2
19.0,2
20.0,2
21.0,2
22.0,2
23.0,2
24.0,2
25.0,2
26.0,2
29.0,2
33.0,2
34.0,2
35.0,2
36.0,2
37.0,2
38.0,2
39.0,2
40.0,2
41.0,2
42.0,2
43.0,2
44.0,2
45.0,2
46.0,2
47.0,2
48.0,2
50.0,2
53.0,2
54.0,2
55.0,2
57.0,2
58.0,2
60.0,2
1.0,3
2.0,3
3.0,3
4.0,3
5.0,3
10.0,3
12.0,3
13.0,3
14.0,3
16.0,3
17.0,3
18.0,3
19.0,3
20.0,3
21.0,3
22.0,3
23.0,3
24.0,3
25.0,3
26.0,3
29.0,3
33.0,3
34.0,3
36.0,3
38.0,3
39.0,3
40.0,3
41.0,3
42.0,3
43.0,3
44.0,3
45.0,3
46.0,3
50.0,3
54.0,3
55.0,3
57.0,3
58.0,3
60.0,3
1.0,4
2.0,4
3.0,4
4.0,4
5.0,4
6.0,4
7.0,4
8.0,4
12.0,4
13.0,4
14.0,4
17.0,4
19.0,4
20.0,4
21.0,4
22.0,4
25.0,4
26.0,4
29.0,4
33.0,4
34.0,4
37.0,4
38.0,4
39.0,4
40.0,4
41.0,4
42.0,4
43.0,4
44.0,4
45.0,4
46.0,4
50.0,4
53.0,4
54.0,4
55.0,4
57.0,4
58.0,4
60.0,4
15.0,5
27.0,5
28.0,5
30.0,5
1.0,6
2.0,6
3.0,6
4.0,6
5.0,6
6.0,6
7.0,6
10.0,6
12.0,6
13.0,6
14.0,6
16.0,6
17.0,6
18.0,6
19.0,6
20.0,6
21.0,6
23.0,6
24.0,6
25.0,6
26.0,6
29.0,6
33.0,6
36.0,6
37.0,6
40.0,6
41.0,6
42.0,6
45.0,6
46.0,6
50.0,6
54.0,6
55.0,6
57.0,6
58.0,6
4.0,7
8.0,7
9.0,7
13.0,7
19.0,7
21.0,7
22.0,7
25.0,7
26.0,7
29.0,7
31.0,7
32.0,7
38.0,7
39.0,7
42.0,7
43.0,7
44.0,7
46.0,7
47.0,7
53.0,7
57.0,7
58.0,7
60.0,7
9.0,8
27.0,8
28.0,8
30.0,8
31.0,8
32.0,8
2.0,9
3.0,9
4.0,9
10.0,9
12.0,9
13.0,9
14.0,9
16.0,9
17.0,9
18.0,9
19.0,9
20.0,9
21.0,9
22.0,9
23.0,9
24.0,9
25.0,9
26.0,9
29.0,9
33.0,9
34.0,9
36.0,9
38.0,9
39.0,9
40.0,9
42.0,9
43.0,9
44.0,9
45.0,9
46.0,9
50.0,9
54.0,9
55.0,9
57.0,9
58.0,9
60.0,9
1.0,10
3.0,10
5.0,10
6.0,10
7.0,10
8.0,10
10.0,10
12.0,10
14.0,10
17.0,10
20.0,10
21.0,10
22.0,10
23.0,10
24.0,10
25.0,10
26.0,10
33.0,10
34.0,10
35.0,10
36.0,10
37.0,10
38.0,10
39.0,10
40.0,10
41.0,10
42.0,10
43.0,10
44.0,10
45.0,10
46.0,10
47.0,10
48.0,10
50.0,10
53.0,10
54.0,10
55.0,10
57.0,10
58.0,10
60.0,10
1.0,11
2.0,11
4.0,11
5.0,11
6.0,11
7.0,11
8.0,11
10.0,11
13.0,11
18.0,11
19.0,11
21.0,11
22.0,11
24.0,11
25.0,11
26.0,11
29.0,11
33.0,11
34.0,11
35.0,11
36.0,11
37.0,11
38.0,11
39.0,11
41.0,11
42.0,11
43.0,11
44.0,11
45.0,11
46.0,11
47.0,11
50.0,11
53.0,11
54.0,11
55.0,11
57.0,11
58.0,11
60.0,11
30.0,12
35.0,12
47.0,12
48.0,12
56.0,12
60.0,12
1.0,13
2.0,13
3.0,13
4.0,13
5.0,13
6.0,13
7.0,13
8.0,13
12.0,13
13.0,13
14.0,13
17.0,13
19.0,13
20.0,13
21.0,13
22.0,13
23.0,13
25.0,13
26.0,13
29.0,13
37.0,13
38.0,13
39.0,13
40.0,13
41.0,13
42.0,13
43.0,13
44.0,13
45.0,13
46.0,13
50.0,13
53.0,13
54.0,13
55.0,13
57.0,13
58.0,13
60.0,13
15.0,14
1.0,15
2.0,15
3.0,15
4.0,15
5.0,15
6.0,15
7.0,15
10.0,15
12.0,15
13.0,15
14.0,15
17.0,15
19.0,15
20.0,15
21.0,15
22.0,15
23.0,15
24.0,15
25.0,15
26.0,15
29.0,15
33.0,15
34.0,15
36.0,15
37.0,15
40.0,15
41.0,15
42.0,15
46.0,15
50.0,15
54.0,15
55.0,15
57.0,15
58.0,15
60.0,15
1.0,16
3.0,16
4.0,16
5.0,16
6.0,16
7.0,16
8.0,16
9.0,16
10.0,16
12.0,16
13.0,16
14.0,16
16.0,16
17.0,16
18.0,16
19.0,16
20.0,16
21.0,16
23.0,16
24.0,16
25.0,16
26.0,16
31.0,16
32.0,16
33.0,16
34.0,16
35.0,16
36.0,16
37.0,16
40.0,16
41.0,16
45.0,16
46.0,16
47.0,16
48.0,16
50.0,16
57.0,16
58.0,16
1.0,17
2.0,17
3.0,17
4.0,17
5.0,17
6.0,17
7.0,17
8.0,17
10.0,17
12.0,17
13.0,17
14.0,17
17.0,17
18.0,17
19.0,17
20.0,17
21.0,17
22.0,17
23.0,17
24.0,17
25.0,17
29.0,17
33.0,17
34.0,17
35.0,17
36.0,17
37.0,17
38.0,17
39.0,17
40.0,17
41.0,17
42.0,17
43.0,17
44.0,17
45.0,17
47.0,17
48.0,17
50.0,17
53.0,17
54.0,17
55.0,17
60.0,17
4.0,18
8.0,18
9.0,18
13.0,18
19.0,18
21.0,18
22.0,18
25.0,18
26.0,18
29.0,18
31.0,18
32.0,18
38.0,18
39.0,18
42.0,18
43.0,18
44.0,18
46.0,18
53.0,18
57.0,18
58.0,18
60.0,18
1.0,19
2.0,19
3.0,19
4.0,19
5.0,19
6.0,19
7.0,19
8.0,19
10.0,19
12.0,19
13.0,19
14.0,19
17.0,19
19.0,19
20.0,19
23.0,19
24.0,19
25.0,19
26.0,19
29.0,19
33.0,19
35.0,19
36.0,19
37.0,19
40.0,19
41.0,19
42.0,19
43.0,19
44.0,19
46.0,19
47.0,19
48.0,19
53.0,19
57.0,19
58.0,19
9.0,20
27.0,20
28.0,20
30.0,20
31.0,20
32.0,20
2.0,21
5.0,21
8.0,21
10.0,21
18.0,21
21.0,21
22.0,21
24.0,21
25.0,21
29.0,21
33.0,21
35.0,21
36.0,21
42.0,21
43.0,21
44.0,21
47.0,21
48.0,21
50.0,21
53.0,21
54.0,21
55.0,21
60.0,21
1.0,22
3.0,22
4.0,22
6.0,22
7.0,22
8.0,22
12.0,22
13.0,22
14.0,22
17.0,22
19.0,22
20.0,22
21.0,22
22.0,22
23.0,22
25.0,22
26.0,22
29.0,22
34.0,22
37.0,22
38.0,22
39.0,22
40.0,22
41.0,22
42.0,22
43.0,22
44.0,22
45.0,22
46.0,22
50.0,22
53.0,22
54.0,22
55.0,22
57.0,22
58.0,22
60.0,22
30.0,23
35.0,23
47.0,23
48.0,23
60.0,23
15.0,24
4.0,25
8.0,25
9.0,25
13.0,25
19.0,25
21.0,25
25.0,25
26.0,25
29.0,25
31.0,25
32.0,25
38.0,25
39.0,25
42.0,25
43.0,25
44.0,25
46.0,25
53.0,25
57.0,25
58.0,25
2.0,26
3.0,26
4.0,26
5.0,26
8.0,26
12.0,26
13.0,26
14.0,26
17.0,26
19.0,26
